zone,period,unbundled_rps_generation_mwh_per_year,unbundled_rps_energy_cost_$_per_year
BANC,2020,0.0,0.0
BANC,2022,0.0,0.0
BANC,2026,0.0,0.0
BANC,2030,0.0,0.0
CAISO,2020,0.0,0.0
CAISO,2022,0.0,0.0
CAISO,2026,0.0,0.0
CAISO,2030,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0
IID,2020,729298.2748656464,28204854.20088373
IID,2022,729298.2748656464,26191106.207486942
IID,2026,729298.2748656464,29078014.920849662
IID,2030,729298.2748656464,29234685.52105561
LDWP,2020,13199.194695043863,477021.19520810724
LDWP,2022,13199.194695043863,464500.2217923619
LDWP,2026,13199.194695043863,479895.65496791946
LDWP,2030,13199.194695043863,481274.3692762249
NW,2020,3679179.1809435766,86704752.16896626
NW,2022,3349408.387813327,90980001.10818212
NW,2026,3454625.1921856045,98862182.06989343
NW,2030,3224356.90328215,96211602.88985598
SW,2020,397143.1904552827,9302076.043946907
SW,2022,397143.1904552827,9308801.33374997
SW,2026,397143.1904552827,9465547.174161747
SW,2030,397143.1904552827,9624257.448323907
