line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502862.73571171093,0.0
BANC_to_CAISO,2022,242933.72337366056,0.0
BANC_to_CAISO,2026,223457.40663175308,0.0
BANC_to_CAISO,2030,24372.198727567175,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,7832.465174995196,0.0
IID_to_CAISO,2026,240.13344287704774,0.0
IID_to_CAISO,2030,1283.491724505353,0.0
LDWP_to_CAISO,2020,115044.21841267397,0.0
LDWP_to_CAISO,2022,43871.52411614268,0.0
LDWP_to_CAISO,2026,15503.277189442908,0.0
LDWP_to_CAISO,2030,2789.5897592965484,0.0
NW_to_CAISO_Unspecified,2020,4169000.316777304,0.0
NW_to_CAISO_Unspecified,2022,2971197.415518191,0.0
NW_to_CAISO_Unspecified,2026,2066868.0662832786,0.0
NW_to_CAISO_Unspecified,2030,408740.43300693907,0.0
SW_to_CAISO,2020,5797101.10427516,0.0
SW_to_CAISO,2022,9984920.973571667,0.0
SW_to_CAISO,2026,4604629.002099802,0.0
SW_to_CAISO,2030,3062634.2444418133,0.0
