zone,period,input_load_mwh_per_year,flexible_ev_load_mwh_per_year,unserved_energy_mwh_per_year,overgeneration_mwh_per_year,hydrogen_electrolysis_load_mwh_per_year,ee_load_reduction_mwh_per_year
BANC,2020,19031876.22909221,0.0,0.0,0.0,0.0,0.0
BANC,2022,18978588.272291873,0.0,0.0,0.0,0.0,0.0
BANC,2026,18690267.305485755,0.0,0.0,0.0,0.0,0.0
BANC,2030,18651206.521136772,0.0,0.0,0.0,0.0,0.0
CAISO,2020,246648344.92026296,0.0,0.0,0.0,0.0,0.0
CAISO,2022,253688824.7657436,0.0,0.0,0.0,0.0,0.0
CAISO,2026,263701485.90502807,0.0,0.0,0.0,0.0,0.0
CAISO,2030,270107279.15484,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2020,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2022,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2026,0.0,0.0,0.0,0.0,0.0,0.0
CAISO_NW_Hydro,2030,0.0,0.0,0.0,0.0,0.0,0.0
IID,2020,3883044.812357832,0.0,0.0,0.0,0.0,0.0
IID,2022,3894982.720507312,0.0,0.0,0.0,0.0,0.0
IID,2026,3887847.3116414524,0.0,0.0,0.0,0.0,0.0
IID,2030,3860811.2665370484,0.0,0.0,0.0,0.0,0.0
LDWP,2020,27416648.29121972,0.0,0.0,0.0,0.0,0.0
LDWP,2022,27401313.00181389,0.0,0.0,0.0,0.0,0.0
LDWP,2026,26595284.178975463,0.0,0.0,0.0,0.0,0.0
LDWP,2030,25622046.380048722,0.0,0.0,0.0,0.0,0.0
NW,2020,240828073.87805983,0.0,0.0,0.0,0.0,0.0
NW,2022,243368001.28800678,0.0,0.0,0.0,0.0,0.0
NW,2026,248416000.99068937,0.0,0.0,0.0,0.0,0.0
NW,2030,253972934.54271787,0.0,0.0,0.0,0.0,0.0
SW,2020,142457371.74157503,0.0,0.0,0.0,0.0,0.0
SW,2022,146337999.9736477,0.0,0.0,0.0,0.0,0.0
SW,2026,152407000.9771249,0.0,0.0,0.0,0.0,0.0
SW,2030,158872918.24598867,0.0,0.0,0.0,0.0,0.0
