line,period,positive_direction_ghg_imports_tco2_per_year,negative_direction_ghg_imports_tco2_per_year
BANC_to_CAISO,2020,502863.0615785347,0.0
BANC_to_CAISO,2022,349752.3706298785,0.0
BANC_to_CAISO,2026,415614.5315606872,0.0
BANC_to_CAISO,2030,456345.48418018874,0.0
IID_to_CAISO,2020,573.168915819813,0.0
IID_to_CAISO,2022,2662.247970132221,0.0
IID_to_CAISO,2026,5014.153018213197,0.0
IID_to_CAISO,2030,36649.10952853196,0.0
LDWP_to_CAISO,2020,115044.21841267397,0.0
LDWP_to_CAISO,2022,56522.241154138035,0.0
LDWP_to_CAISO,2026,135116.335175122,0.0
LDWP_to_CAISO,2030,232562.2301022359,0.0
NW_to_CAISO_Unspecified,2020,4168114.383122485,0.0
NW_to_CAISO_Unspecified,2022,3227038.8665683395,0.0
NW_to_CAISO_Unspecified,2026,2537285.786682524,0.0
NW_to_CAISO_Unspecified,2030,1862474.0190130556,0.0
SW_to_CAISO,2020,5797987.070881181,0.0
SW_to_CAISO,2022,7839350.325181765,0.0
SW_to_CAISO,2026,9595892.021362029,0.0
SW_to_CAISO,2030,10696692.813942207,0.0
